filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
./all_samples/sample_A_RX1_C06.wav,0.8199172616004944,0.7427377700805664,503.10876470565125,853.2603259084831,955.9561387328637,0.018868927908415843,-433.43011474609375,17.85956382751465,-3.531383514404297,10.396378517150879,17.42544937133789,22.038637161254883,-10.53438663482666,13.869148254394531,5.144402503967285,4.0217485427856445,19.58677864074707,6.358152866363525,12.403281211853027,-0.2698599100112915,9.478411674499512,14.758719444274902,7.192739963531494,10.915217399597168,5.3001604080200195,6.178597927093506,RX
./all_samples/sample_A_RX1_C07.wav,0.8887326121330261,0.8501865267753601,167.3889086392421,624.2161665418981,237.85743451899276,0.0050613159272658035,-427.9097595214844,18.574695587158203,-4.509197235107422,11.516860008239746,18.996671676635742,23.810617446899414,-12.831146240234375,15.71078109741211,6.264615058898926,4.446078777313232,21.232601165771484,6.176789283752441,13.502487182617188,-0.5705820918083191,10.678749084472656,16.4338436126709,7.449726104736328,11.859160423278809,5.893257141113281,7.422609329223633,RX
./all_samples/sample_A_RX1_C08.wav,0.8574001789093018,0.8006075620651245,326.8667899228743,729.7104863439316,575.0414834527323,0.013617952089680122,-429.97314453125,18.48948097229004,-3.9714088439941406,11.077374458312988,18.155670166015625,23.05850601196289,-11.758896827697754,14.836104393005371,5.703061103820801,4.224865436553955,20.39693260192871,6.2678422927856445,12.966126441955566,-0.503075361251831,10.047889709472656,15.45954704284668,7.203521251678467,11.295453071594238,5.512308597564697,6.692926406860352,RX
./all_samples/sample_A_RX1_C09.wav,0.8615460991859436,0.8087040185928345,302.1654368862603,715.5343216259371,521.8890757390042,0.011149026561309977,-430.1227111816406,17.808658599853516,-4.342343330383301,10.865796089172363,18.243558883666992,23.134231567382812,-12.093547821044922,14.940077781677246,5.5639166831970215,4.130720138549805,20.57744026184082,6.144489765167236,12.928305625915527,-0.6280874609947205,10.009479522705078,15.57586669921875,7.251077651977539,11.338150978088379,5.575115203857422,6.756274223327637,RX
./all_samples/sample_A_RX1_C010.wav,0.8577835559844971,0.7996267676353455,322.99586957146744,736.6524730450946,575.6236835372239,0.010477035534082255,-428.9834899902344,18.61271858215332,-4.415024757385254,11.00686264038086,17.994169235229492,23.09721565246582,-11.917668342590332,14.856315612792969,5.42352294921875,4.041896343231201,20.460819244384766,6.202022075653076,12.940114974975586,-0.6453543901443481,9.880266189575195,15.401305198669434,7.260307312011719,11.224878311157227,5.616698741912842,6.669489860534668,RX
./all_samples/sample_A_RX1_C011.wav,0.8625804781913757,0.8101303577423096,296.54486930680025,707.1511362738072,513.5414745275609,0.010381089941926885,-431.3919372558594,17.983047485351562,-3.623103380203247,11.04358196258545,18.179157257080078,22.57251739501953,-12.024145126342773,14.63637924194336,5.938233375549316,4.268270015716553,19.944786071777344,5.982725143432617,12.883453369140625,-0.4980151653289795,10.162840843200684,15.597272872924805,7.048453330993652,11.196249008178711,5.204480171203613,6.633375644683838,RX
./all_samples/sample_A_RX1_C012.wav,0.8595913052558899,0.806303858757019,311.82994545708925,719.9979032117981,537.1984779607768,0.012170586800266565,-430.1368103027344,17.40158462524414,-5.013636112213135,10.356940269470215,17.90707778930664,22.923542022705078,-12.414817810058594,14.621159553527832,5.1767473220825195,3.7069289684295654,20.446578979492188,5.969648361206055,12.712197303771973,-0.9041937589645386,9.712767601013184,15.366286277770996,7.073916912078857,11.263975143432617,5.498539924621582,6.5960822105407715,RX
./all_samples/sample_A_RX1_C013.wav,0.8568913340568542,0.7995792627334595,329.3193506443395,733.2100037167907,581.38008437262,0.011425334991431835,-430.0030517578125,18.222179412841797,-4.3454203605651855,10.707979202270508,17.684053421020508,22.54054832458496,-12.171430587768555,14.400699615478516,5.32097053527832,3.836984395980835,19.811159133911133,5.7215471267700195,12.419662475585938,-0.9184165000915527,9.705123901367188,15.139323234558105,6.9273786544799805,10.916790008544922,5.154830455780029,6.49344539642334,RX
./all_samples/sample_A_RX1_C014.wav,0.8633471131324768,0.8098388314247131,294.7900135665213,707.8549211291868,511.97527430026656,0.00967748893278751,-431.5409240722656,17.67340087890625,-3.991602897644043,10.731531143188477,17.931737899780273,22.381267547607422,-12.2970552444458,14.367508888244629,5.6173624992370605,3.9608304500579834,19.820951461791992,5.780940532684326,12.608633041381836,-0.7427136301994324,9.877202987670898,15.372331619262695,6.8498430252075195,10.994462966918945,5.117062568664551,6.518880367279053,RX
./all_samples/sample_A_RX1_C015.wav,0.8556633591651917,0.7984265089035034,336.0908593079616,734.0209291842257,587.3332852365766,0.013163512114432598,-430.5223693847656,17.833696365356445,-4.524098873138428,10.511651039123535,17.668081283569336,22.568984985351562,-12.272294998168945,14.371444702148438,5.209286212921143,3.8128912448883057,19.948444366455078,5.816841125488281,12.570517539978027,-0.8908420205116272,9.664933204650879,15.159178733825684,6.950346946716309,10.950898170471191,5.237523078918457,6.456356048583984,RX
./all_samples/sample_A_RX1_C016.wav,0.861763596534729,0.8068863749504089,305.74019558728077,715.8088675966459,527.7192765851104,0.011507892826542269,-429.6812744140625,18.105215072631836,-4.734134197235107,10.677996635437012,17.94251823425293,22.91837501525879,-12.30604362487793,14.709431648254395,5.285272121429443,3.7550277709960938,20.39045524597168,5.94840669631958,12.715402603149414,-0.8048964738845825,9.860834121704102,15.383152961730957,7.070419788360596,11.189810752868652,5.408116340637207,6.647548675537109,RX
./all_samples/sample_A_RX1_C017.wav,0.8631139993667603,0.8107101321220398,291.7710795366528,703.4128194011438,503.61127308644325,0.009722858553884235,-431.7099609375,17.795957565307617,-3.972529888153076,10.738728523254395,17.919750213623047,22.159347534179688,-12.340517044067383,14.28836441040039,5.782801151275635,4.067259788513184,19.88055419921875,5.872303009033203,12.716730117797852,-0.5919435620307922,10.0178804397583,15.568584442138672,6.98333740234375,11.18018627166748,5.203140735626221,6.732862949371338,RX
